algorithm,k,silhouette
kmeans,1,
kmeans,2,0.7381018996238708
kmeans,3,0.7207583785057068
kmeans,4,0.5641175508499146
kmeans,5,0.553102970123291
kmeans,6,0.44005587697029114
kmeans,7,0.566974401473999
kmeans,8,0.44696009159088135
kmeans,9,0.4925558269023895
kmeans,10,0.44320300221443176
kmeans++,1,
kmeans++,2,0.7381018996238708
kmeans++,3,0.7207583785057068
kmeans++,4,0.6755771040916443
kmeans++,5,0.5989558696746826
kmeans++,6,0.46405529975891113
kmeans++,7,0.5033172965049744
kmeans++,8,0.4654318392276764
kmeans++,9,0.5002096891403198
kmeans++,10,0.5235050320625305
AHC,1,
AHC,2,0.8840456008911133
AHC,3,0.9097548127174377
AHC,4,0.8768035173416138
AHC,5,0.8197112083435059
AHC,6,0.7882476449012756
AHC,7,0.7847242951393127
AHC,8,0.7978725433349609
AHC,9,0.6491475105285645
AHC,10,0.6723827719688416
HDBSCAN,20,0.7070271372795105
