Ep    1/1000 | R =  -97.14 | mean100 =  -97.14 | eps = 0.995 | buf =     71 | loss = nan
Ep   20/1000 | R =  -73.58 | mean100 = -206.02 | eps = 0.905 | buf =   1823 | loss = 0.4560
Ep   40/1000 | R = -165.42 | mean100 = -198.61 | eps = 0.818 | buf =   3857 | loss = 0.8304
Ep   60/1000 | R =  -74.04 | mean100 = -174.37 | eps = 0.740 | buf =   6110 | loss = 0.2516
Ep   80/1000 | R =   -2.25 | mean100 = -157.35 | eps = 0.670 | buf =   8487 | loss = 0.7784
Ep  100/1000 | R =  -54.42 | mean100 = -144.81 | eps = 0.606 | buf =  10977 | loss = 0.5634
Ep  120/1000 | R =  -45.83 | mean100 = -117.54 | eps = 0.548 | buf =  13817 | loss = 0.3908
Ep  140/1000 | R =    2.03 | mean100 =  -90.46 | eps = 0.496 | buf =  17390 | loss = 4.9089
Ep  160/1000 | R =   35.00 | mean100 =  -74.94 | eps = 0.448 | buf =  22805 | loss = 0.9940
Ep  180/1000 | R =  -50.90 | mean100 =  -60.71 | eps = 0.406 | buf =  31126 | loss = 3.2315
Ep  200/1000 | R =   70.66 | mean100 =  -50.26 | eps = 0.367 | buf =  42476 | loss = 3.4535
Ep  220/1000 | R =  -81.54 | mean100 =  -34.75 | eps = 0.332 | buf =  58756 | loss = 1.1756
Ep  240/1000 | R =   55.81 | mean100 =  -29.83 | eps = 0.300 | buf =  76550 | loss = 0.8908
Ep  260/1000 | R =   95.28 | mean100 =  -16.55 | eps = 0.272 | buf =  91518 | loss = 5.3915
Ep  280/1000 | R =   77.14 | mean100 =    3.78 | eps = 0.246 | buf = 100000 | loss = 2.1986
Ep  300/1000 | R =   98.52 | mean100 =   36.55 | eps = 0.222 | buf = 100000 | loss = 0.4559
Ep  320/1000 | R =   77.23 | mean100 =   57.69 | eps = 0.201 | buf = 100000 | loss = 0.4537
Ep  340/1000 | R =  264.44 | mean100 =   95.33 | eps = 0.182 | buf = 100000 | loss = 0.9483
Ep  360/1000 | R =  126.75 | mean100 =  127.47 | eps = 0.165 | buf = 100000 | loss = 0.1775
Ep  380/1000 | R =  240.43 | mean100 =  146.51 | eps = 0.149 | buf = 100000 | loss = 0.3272
Ep  400/1000 | R =  -37.24 | mean100 =  158.67 | eps = 0.135 | buf = 100000 | loss = 0.8187
Ep  420/1000 | R =  238.81 | mean100 =  173.92 | eps = 0.122 | buf = 100000 | loss = 2.1184
Ep  440/1000 | R =  246.74 | mean100 =  185.37 | eps = 0.110 | buf = 100000 | loss = 0.3807
Ep  460/1000 | R =  266.11 | mean100 =  193.25 | eps = 0.100 | buf = 100000 | loss = 0.7492
Ep  480/1000 | R =  297.70 | mean100 =  199.37 | eps = 0.090 | buf = 100000 | loss = 0.1452
Ep  500/1000 | R =  243.65 | mean100 =  206.84 | eps = 0.082 | buf = 100000 | loss = 0.2688
Ep  520/1000 | R =  309.99 | mean100 =  215.60 | eps = 0.074 | buf = 100000 | loss = 0.2718
Ep  540/1000 | R =  277.15 | mean100 =  217.88 | eps = 0.067 | buf = 100000 | loss = 0.1961
Ep  560/1000 | R =  245.26 | mean100 =  220.98 | eps = 0.060 | buf = 100000 | loss = 0.4348
Ep  580/1000 | R =  279.24 | mean100 =  229.30 | eps = 0.055 | buf = 100000 | loss = 0.1164
Ep  600/1000 | R =  116.05 | mean100 =  233.09 | eps = 0.049 | buf = 100000 | loss = 0.1893
Ep  620/1000 | R =  242.21 | mean100 =  234.40 | eps = 0.045 | buf = 100000 | loss = 0.5561
Ep  640/1000 | R =  278.74 | mean100 =  236.77 | eps = 0.040 | buf = 100000 | loss = 0.2369
Ep  660/1000 | R =  295.79 | mean100 =  239.11 | eps = 0.037 | buf = 100000 | loss = 0.1915
Ep  680/1000 | R =  288.50 | mean100 =  237.97 | eps = 0.033 | buf = 100000 | loss = 0.4862
Ep  700/1000 | R =  211.41 | mean100 =  236.71 | eps = 0.030 | buf = 100000 | loss = 0.2295
Ep  720/1000 | R =  259.58 | mean100 =  239.64 | eps = 0.027 | buf = 100000 | loss = 1.7916
Ep  740/1000 | R =  270.46 | mean100 =  238.82 | eps = 0.024 | buf = 100000 | loss = 2.4903
Ep  760/1000 | R =  252.86 | mean100 =  234.69 | eps = 0.022 | buf = 100000 | loss = 0.2096
Ep  780/1000 | R =  -18.30 | mean100 =  233.29 | eps = 0.020 | buf = 100000 | loss = 0.5983
Ep  800/1000 | R =  282.02 | mean100 =  233.09 | eps = 0.018 | buf = 100000 | loss = 0.7845
Ep  820/1000 | R =  257.52 | mean100 =  228.10 | eps = 0.016 | buf = 100000 | loss = 0.1657
Ep  840/1000 | R =  275.49 | mean100 =  231.83 | eps = 0.015 | buf = 100000 | loss = 1.9418
Ep  860/1000 | R =  289.06 | mean100 =  240.16 | eps = 0.013 | buf = 100000 | loss = 0.3642
Ep  880/1000 | R =   55.52 | mean100 =  242.13 | eps = 0.012 | buf = 100000 | loss = 0.4879
Ep  900/1000 | R =  279.69 | mean100 =  246.74 | eps = 0.011 | buf = 100000 | loss = 0.1720
Ep  920/1000 | R =  231.90 | mean100 =  250.66 | eps = 0.010 | buf = 100000 | loss = 1.7005
Ep  940/1000 | R =  285.83 | mean100 =  252.38 | eps = 0.010 | buf = 100000 | loss = 0.1562
Ep  960/1000 | R =  278.32 | mean100 =  249.37 | eps = 0.010 | buf = 100000 | loss = 0.0869
Ep  980/1000 | R =  245.71 | mean100 =  243.33 | eps = 0.010 | buf = 100000 | loss = 1.7225
Ep 1000/1000 | R =  247.07 | mean100 =  246.40 | eps = 0.010 | buf = 100000 | loss = 0.3390

Training finished in 19.6 min. Best 100-ep mean reward: 252.87. Solved at episode: 462.
Saved plots to plots/rewards.png and plots/loss.png
